"vaalipiiri"	"kunta"	"sukunimi"	"etunimi"	"ammatti"	"puolue_lyh"	"puolue"	"rahoitus_kaikki"	"kulut_kaikki"	"omat_varat"	"lainat"	"yksityinen_tuki"	"yritys_tuki"	"puolue_tuki"	"puolueyhdistys_tuki"	"muu_tuki"	"valitetty_tuki"
"Pirkanmaan vaalipiiri"	"Tampere"	"Siik"	"Kirsikka"	"arkkitehti, kaupunkisuunnittelija"	"VIHR"	"Vihreä liitto r.p."	8000	8000	6700	0	1300	0	0	0	0	0
"Pirkanmaan vaalipiiri"	"Tampere"	"Siuro"	"Petri"	"pääluottamusmies, sairaanhoitaja"	"VIHR"	"Vihreä liitto r.p."	6673	6673	5883	0	790	0	0	0	0	0
"Pirkanmaan vaalipiiri"	"Ylöjärvi"	"Sorsa"	"Minna"	"terveystieteiden maisteri, kehittämiskoordinaattori"	"VIHR"	"Vihreä liitto r.p."	9468	9468	4244	0	2513	478	0	2232	0	0
"Pirkanmaan vaalipiiri"	"Tampere"	"Tynkkynen"	"Oras"	"kansanedustaja, yhteiskuntatieteiden maisteri"	"VIHR"	"Vihreä liitto r.p."	20129	20129	18669	0	1245	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Mustonen"	"Pekka Tero Tuomas"	"opettaja"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Mikkola"	"Ritva Seija Annukka"	"ekonomi"	"KESK"	"Suomen Keskusta r.p."	1150	1500	350	0	0	0	0	1150	0	0
"Pohjois-Karjalan vaalipiiri"	"Liperi"	"Sallinen"	"Jussi Heikki Oskari"	"opiskelija, YTK"	"KESK"	"Suomen Keskusta r.p."	11000	11000	5000	0	3000	0	0	3000	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Mäkisalo-Ropponen"	"Merja Elina"	"terveystieteiden tohtori, työyhteisökouluttaja"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	14000	14000	10250	0	250	0	0	3500	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Puhakka"	"Antero Olavi"	"YTT, pääluottamusmies"	"VAS"	"Vasemmistoliitto r.p."	2200	2200	2010	0	190	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Pyykkönen"	"Milla Marianne"	"yhteiskuntatieteiden kandidaatti"	"VAS"	"Vasemmistoliitto r.p."	2000	2000	100	0	200	0	0	0	1700	1900
"Pohjois-Karjalan vaalipiiri"	"Kitee"	"Rouvinen"	"Auvo Isto Juhani"	"kirvesmies, kolumnisti"	"VAS"	"Vasemmistoliitto r.p."	5000	5000	2600	0	1400	0	0	0	1000	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Saarelainen"	"Antti Juhani"	"suurtalouskokki, yhteiskuntatieteiden ylioppilas"	"VAS"	"Vasemmistoliitto r.p."	1100	1100	0	0	0	0	0	0	1100	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Tahvanainen"	"Heikki Petteri"	"kirvesmies"	"VAS"	"Vasemmistoliitto r.p."	4000	0	1000	0	500	0	0	500	2000	0
"Pohjois-Karjalan vaalipiiri"	"Kontiolahti"	"Tormulainen"	"Tuomo Erik"	"atk-suunnittelija"	"VAS"	"Vasemmistoliitto r.p."	1000	1000	250	0	750	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Turunen"	"Jaakko Juhani"	"yhteiskuntatieteiden ylioppilas"	"VAS"	"Vasemmistoliitto r.p."	2250	2250	0	0	900	0	0	0	1350	0
"Pohjois-Karjalan vaalipiiri"	"Outokumpu"	"Vänskä"	"Timo Olavi"	"koneenasentaja"	"VAS"	"Vasemmistoliitto r.p."	6600	6600	0	0	0	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Juuka"	"Väyrynen"	"Ritva Johanna"	"opiskelija, toimistosihteeri"	"VAS"	"Vasemmistoliitto r.p."	3200	3200	500	0	2000	0	0	200	500	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Airaksinen"	"Jussi"	"hallintotieteiden ylioppilas"	"VIHR"	"Vihreä liitto r.p."	1450	1450	415	0	1035	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Helsinki"	"Anttonen"	"Taru"	"koulutussuunnittelija, YTM"	"VIHR"	"Vihreä liitto r.p."	1770	1770	950	0	600	0	0	220	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Autti"	"Hannele"	"teatteriohjaaja, FM"	"VIHR"	"Vihreä liitto r.p."	150	150	150	0	0	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Häkkinen"	"Mikko"	"terveystieteiden maisteri, lehtori"	"VIHR"	"Vihreä liitto r.p."	2200	2200	1850	0	350	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Hakulinen"	"Juha"	"sekatyömies"	"VIHR"	"Vihreä liitto r.p."	500	500	320	0	180	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Hänninen"	"Johannes"	"ympäristöteknologian opiskelija"	"VIHR"	"Vihreä liitto r.p."	150	150	125	0	25	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Polvijärvi"	"Harle"	"Christiana"	"mehiläistarhuri AMK, musiikkiterapeutti B.M."	"VIHR"	"Vihreä liitto r.p."	900	900	900	0	0	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Ikonen"	"Risto"	"yliopistonlehtori, KT"	"VIHR"	"Vihreä liitto r.p."	500	500	500	0	0	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Helsinki"	"Kivi"	"Inka"	"erityislastentarhanopettaja, toiminnanohjaaja"	"VIHR"	"Vihreä liitto r.p."	500	500	280	0	0	0	0	220	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Massinen"	"Minttu"	"pääsihteeri"	"VIHR"	"Vihreä liitto r.p."	1965	1965	963	0	1002	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Mikkonen"	"Krista"	"seurakehittäjä, FM"	"VIHR"	"Vihreä liitto r.p."	10220	10220	8000	0	2000	0	0	220	0	0
"Pohjois-Karjalan vaalipiiri"	"Ilomantsi"	"Rissanen"	"Kari"	"toimittaja, muusikko"	"VIHR"	"Vihreä liitto r.p."	500	500	450	0	50	0	0	0	0	0
"Pohjois-Karjalan vaalipiiri"	"Joensuu"	"Tahvanainen"	"Roope"	"yhteiskuntapolitiikan opiskelija, kaupunginvaltuutettu"	"VIHR"	"Vihreä liitto r.p."	1560	1560	1400	0	160	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Järvinen"	"Aki Juhani"	"filosofian tohtori, informaatioanalyytikko"	"M11"	"Muutos 2011 r.p."	590	590	560	0	30	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Nyyssönen"	"Esa Jaakko Antero"	"kirvesmies"	"M11"	"Muutos 2011 r.p."	390	390	390	0	0	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Kivelä"	"Kimmo Kyösti Väinämö"	"rovasti, teologian maisteri"	"PS"	"Perussuomalaiset r.p."	12000	12000	11000	0	1000	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Iisalmi"	"Kääriäinen"	"Seppo Arimo"	"eduskunnan varapuhemies, valtiotieteiden tohtori"	"KESK"	"Suomen Keskusta r.p."	34000	34000	16400	0	4600	7500	0	4000	1500	0
"Pohjois-Savon vaalipiiri"	"Lapinlahti"	"Rusanen"	"Juha-Pekka Aleksanteri"	"yht.yo, opiskelija"	"KESK"	"Suomen Keskusta r.p."	11000	11000	1500	0	6500	0	0	2500	0	500
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Korte"	"Niko-Tapio Rauno"	"valtiotieteiden kandidaatti (VTK)"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	11280	11728	0	0	1740	0	800	6000	2400	0
"Pohjois-Savon vaalipiiri"	"Leppävirta"	"Hämäläinen"	"Tomi Juhani"	"varastomies"	"VP"	"Vapauspuolue (VP) - Suomen tulevaisuus r.p."	0	80	80	0	0	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Luomanmäki"	"Marja Liisa"	"sairaanhoitaja, opiskelija"	"VP"	"Vapauspuolue (VP) - Suomen tulevaisuus r.p."	250	250	250	0	0	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Komulainen"	"Heidi Kaarina Annukka"	"YTM, sosiaalityöntekijä"	"VAS"	"Vasemmistoliitto r.p."	9000	9000	2000	0	500	500	500	5500	0	0
"Pohjois-Savon vaalipiiri"	"Leppävirta"	"Korhonen"	"Hanna-Kaisa"	"VTM, koulutuspäällikkö"	"VAS"	"Vasemmistoliitto r.p."	8600	8600	1100	0	5200	0	0	2000	300	0
"Pohjois-Savon vaalipiiri"	"Varkaus"	"Semi"	"Veli Matti"	"rakennusmies, luottamusmies"	"VAS"	"Vasemmistoliitto r.p."	13900	0	3000	0	600	0	1500	2000	6800	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Turunen"	"Kari Ensio"	"kulttuuriteknikko"	"VAS"	"Vasemmistoliitto r.p."	3300	3300	0	0	0	0	0	3300	0	0
"Pohjois-Savon vaalipiiri"	"Lapinlahti"	"Valkonen"	"Pia Riitta Maria"	"toimittaja"	"VAS"	"Vasemmistoliitto r.p."	0	1000	600	0	0	400	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Virtanen"	"Erkki Alvar"	"kansanedustaja, yhteiskuntatieteiden kandidaatti"	"VAS"	"Vasemmistoliitto r.p."	18400	18400	9950	0	50	800	0	7000	600	0
"Pohjois-Savon vaalipiiri"	"Siilinjärvi"	"Airola"	"Iiro-Pekka"	"opiskelija, maakuntavaltuuston jäsen"	"VIHR"	"Vihreä liitto r.p."	1824	1824	436	0	1055	0	0	333	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Auvinen"	"Harri Kristian"	"tekniikan tohtori, filosofian maisteri"	"VIHR"	"Vihreä liitto r.p."	6000	6000	5800	0	160	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Björk"	"Erkki Antero"	"dosentti, yliopiston lehtori"	"VIHR"	"Vihreä liitto r.p."	1000	1000	950	0	50	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Falkenberg"	"Marianna Aino Elisa"	"FM, amanuenssi"	"VIHR"	"Vihreä liitto r.p."	5700	5700	3950	0	1750	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Heikka"	"Minna Maria"	"YTM, toiminnanjohtaja"	"VIHR"	"Vihreä liitto r.p."	692	692	442	0	250	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Lapinlahti"	"Hölttä"	"Harri Markus Olavi"	"filosofian maisteri, metsäasiantuntija"	"VIHR"	"Vihreä liitto r.p."	5397	5397	3967	1000	430	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Siilinjärvi"	"Juvonen"	"Toni Kristian"	"salkunhoitaja, kauppatieteiden kandidaatti"	"VIHR"	"Vihreä liitto r.p."	1343	1343	910	0	100	0	0	333	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Kankaanperä"	"Tero Tapani"	"opiskelija"	"VIHR"	"Vihreä liitto r.p."	750	750	640	0	110	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Iisalmi"	"Karhu"	"Mika Petri"	"FM, hankeohjaaja"	"VIHR"	"Vihreä liitto r.p."	1530	1530	830	0	500	0	0	200	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Kauhanen"	"Mari Tytti Johanna"	"järjestötyöntekijä"	"VIHR"	"Vihreä liitto r.p."	459	456	30	0	173	0	0	0	0	256
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Luostarinen"	"Eija Anneli"	"sihteeri"	"VIHR"	"Vihreä liitto r.p."	0	460	410	0	50	0	0	0	0	0
"Pohjois-Savon vaalipiiri"	"Maaninka"	"Pietikäinen"	"Liisa Inkeri"	"FM, agrologi (AMK)"	"VIHR"	"Vihreä liitto r.p."	1153	1153	600	0	0	0	0	553	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Rytsy"	"Hetti Haria"	"kaupunginvaltuutettu, lukion lehtori"	"VIHR"	"Vihreä liitto r.p."	15000	15000	12000	0	225	0	0	2200	0	0
"Pohjois-Savon vaalipiiri"	"Kuopio"	"Sajaniemi"	"Sara Irene"	"luonnontieteiden ylioppilas, ympäristötieteiden opiskelija"	"VIHR"	"Vihreä liitto r.p."	7300	7300	1150	0	150	6000	0	0	0	0
"Satakunnan vaalipiiri"	"Pori"	"Hakala"	"Olli-Pekka Ensio"	"yrittäjä"	"M11"	"Muutos 2011 r.p."	25	400	375	0	25	0	0	0	0	0
"Satakunnan vaalipiiri"	"Kankaanpää"	"Joutsenlahti"	"Taito Anssi Ilmari"	"rovasti"	"PS"	"Perussuomalaiset r.p."	46220	46220	30000	0	0	3420	0	12800	0	0
"Satakunnan vaalipiiri"	"Rauma"	"Koivu"	"Anita Orvokki"	"lehtori, eläkeläinen"	"PS"	"Perussuomalaiset r.p."	2580	2580	1788	0	170	0	276	346	0	0
"Satakunnan vaalipiiri"	"Pori"	"Huhtanen"	"Tapio Mikael"	"everstiluutnantti evp."	"KESK"	"Suomen Keskusta r.p."	12000	12000	4500	0	600	3500	0	2400	1000	0
"Satakunnan vaalipiiri"	"Pori"	"Lanne"	"Susa Viveka"	"yhteiskuntatieteiden maisteri, aluekehitysasiantuntija"	"KESK"	"Suomen Keskusta r.p."	3000	3000	100	0	400	0	1500	1000	0	0
"Satakunnan vaalipiiri"	"Pori"	"Meriniemi"	"Tuomas Tapio"	"tekniikan ylioppilas"	"KESK"	"Suomen Keskusta r.p."	6000	6000	1500	0	900	0	0	3000	600	0
"Satakunnan vaalipiiri"	"Rauma"	"Ahvenjärvi"	"Sauli Sakari"	"tekniikan tohtori, yliopettaja"	"KD"	"Suomen Kristillisdemokraatit (KD)"	40600	40600	500	0	1100	0	0	39000	0	0
"Satakunnan vaalipiiri"	"Rauma"	"Ailasmaa"	"Ilkka Tapio"	"postityöntekijä"	"VAS"	"Vasemmistoliitto r.p."	0	5000	800	0	200	0	0	0	4000	0
"Satakunnan vaalipiiri"	"Pomarkku"	"Heininen"	"Jaana Hannele"	"perhepäivähoitaja, pääluottamusmies"	"VAS"	"Vasemmistoliitto r.p."	4438	5049	0	0	0	0	0	0	0	0
"Satakunnan vaalipiiri"	"Pori"	"Nummelin"	"Aki Nikolai"	"yhteiskuntatieteiden maisteri, projektipäällikkö"	"VAS"	"Vasemmistoliitto r.p."	26978	26978	3977	0	1280	1000	0	3556	17165	0
"Satakunnan vaalipiiri"	"Pori"	"Ranta"	"Raisa Anne-Maria"	"hankeneuvoja, insinööri"	"VAS"	"Vasemmistoliitto r.p."	6000	6000	650	0	2350	0	500	1400	1100	0
"Satakunnan vaalipiiri"	"Rauma"	"Ruponen"	"Susanna Tuulikki"	"dokumentaatioassistentti"	"VAS"	"Vasemmistoliitto r.p."	2820	2820	100	0	20	0	0	0	2720	0
"Satakunnan vaalipiiri"	"Pori"	"Sandberg"	"Juha Harry Erik"	"yhteiskuntatieteiden maisteri, hankintasuunnittelija"	"VAS"	"Vasemmistoliitto r.p."	5000	5000	200	0	200	3000	700	0	900	0
"Satakunnan vaalipiiri"	"Helsinki"	"Syvärinen"	"Katja Maarika"	"työllisyyspalveluiden johtaja"	"VAS"	"Vasemmistoliitto r.p."	12200	12200	3700	0	2900	0	1000	0	400	4200
"Satakunnan vaalipiiri"	"Huittinen"	"Bland"	"Anne Maarit"	"yrittäjä"	"VIHR"	"Vihreä liitto r.p."	5400	5400	4680	0	500	0	0	220	0	0
"Satakunnan vaalipiiri"	"Pori"	"Fagerlund"	"Mia Christina"	"lääketieteen lisensiaatti, erikoislääkäri"	"VIHR"	"Vihreä liitto r.p."	0	7500	6100	0	0	1400	0	0	0	0
"Satakunnan vaalipiiri"	"Eura"	"Helander"	"Hannele Anna-Liisa"	"psykiatrinen sairaanhoitaja, perheterapeutti"	"VIHR"	"Vihreä liitto r.p."	2000	2000	1700	0	300	0	0	0	0	0
"Satakunnan vaalipiiri"	"Rauma"	"Kekki"	"Noora-Stiina"	"opiskelija"	"VIHR"	"Vihreä liitto r.p."	282	282	282	0	0	0	0	0	0	0
"Satakunnan vaalipiiri"	"Pori"	"Kruus"	"Heikki Juhani"	"teologian maisteri, psykoterapeutti"	"VIHR"	"Vihreä liitto r.p."	1771	1771	1771	0	0	0	0	0	0	0
"Satakunnan vaalipiiri"	"Pori"	"Liinamaa"	"Anne Elina"	"kasvatustieteen maisteri, opettaja"	"VIHR"	"Vihreä liitto r.p."	5663	5663	4986	0	457	0	0	220	0	0
"Satakunnan vaalipiiri"	"Pori"	"Nirhamo"	"Marika"	"sosiaalityöntekijä"	"VIHR"	"Vihreä liitto r.p."	300	300	300	0	0	0	0	0	0	0
"Satakunnan vaalipiiri"	"Ulvila"	"Rantala"	"Heikki Pekka"	"projektipäällikkö, hallintotieteiden tohtori"	"VIHR"	"Vihreä liitto r.p."	972	972	967	0	5	0	0	0	0	0
"Satakunnan vaalipiiri"	"Pori"	"Rintala"	"Esa Matti"	"lääketieteen tohtori, ylilääkäri"	"VIHR"	"Vihreä liitto r.p."	11766	11766	11566	0	200	0	0	0	0	0
"Satakunnan vaalipiiri"	"Luvia"	"Risku-Myllyharju"	"Piia Kaarina"	"filosofian maisteri, biologian ja maantieteen opettaja"	"VIHR"	"Vihreä liitto r.p."	770	770	550	0	0	0	0	220	0	0
"Satakunnan vaalipiiri"	"Harjavalta"	"Unkuri"	"Klaus Antero Tapio"	"yhteiskuntatieteiden ylioppilas, opiskelija"	"VIHR"	"Vihreä liitto r.p."	1200	1200	1100	0	100	0	0	0	0	0
"Satakunnan vaalipiiri"	"Pori"	"Väkiparta"	"Maria Annika"	"filosofian maisteri, kauppatieteiden maisteri"	"VIHR"	"Vihreä liitto r.p."	1650	1650	630	0	800	0	0	220	0	0
"Satakunnan vaalipiiri"	"Rauma"	"Vasko"	"Ville Veijo Wilhelm"	"filosofian maisteri, biologi"	"VIHR"	"Vihreä liitto r.p."	150	150	150	0	0	0	0	0	0	0
"Satakunnan vaalipiiri"	"Kankaanpää"	"Velhonoja"	"Vesa-Matti"	"filosofian maisteri, lehtori"	"VIHR"	"Vihreä liitto r.p."	1390	1390	490	0	650	0	0	250	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Järvinen"	"Jukka Petteri"	"diplomi-insinööri"	"KOK"	"Kansallinen Kokoomus r.p."	10000	10000	10000	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Lepomäki"	"Elina Maria"	"diplomi-insinööri, kauppatieteiden maisteri"	"KOK"	"Kansallinen Kokoomus r.p."	45000	45000	20000	0	15000	0	0	10000	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Niemi"	"Marika Kaarina"	"kauppatieteiden maisteri, opettaja"	"KOK"	"Kansallinen Kokoomus r.p."	25000	25000	22000	0	3000	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Järvenpää"	"Kahelin"	"Eino Juhani"	"ylitarkastaja, esseekirjailija"	"KOY"	"Köyhien Asialla r.p."	150	150	150	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Kerava"	"Munne"	"Martti Juhani"	"rahoitusalan toimihenkilö"	"M11"	"Muutos 2011 r.p."	340	340	340	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Nummi-Pusula"	"Nieminen"	"Mikki Seponpoika"	"nuoriso- ja vapaa-ajanohjaaja"	"PS"	"Perussuomalaiset r.p."	4000	4000	3600	0	0	0	400	0	0	0
"Uudenmaan vaalipiiri"	"Nurmijärvi"	"Niinistö"	"Jussi Lauri Juhani"	"filosofian tohtori, pääsihteeri"	"PS"	"Perussuomalaiset r.p."	10000	10000	7800	0	1800	0	0	400	0	0
"Uudenmaan vaalipiiri"	"Loviisa"	"Nykänen"	"Kimmo Kalervo"	"koneteknikko"	"PS"	"Perussuomalaiset r.p."	600	600	100	0	100	0	400	0	0	0
"Uudenmaan vaalipiiri"	"Porvoo"	"Ruohonen-Lerner"	"Pirkko Anneli"	"kansanedustaja, riksdagsledamot"	"PS"	"Perussuomalaiset r.p."	10000	10000	9300	0	0	0	0	700	0	0
"Uudenmaan vaalipiiri"	"Järvenpää"	"Tala"	"Heikki Juhani"	"dosentti, ylilääkäri"	"PS"	"Perussuomalaiset r.p."	1500	1500	875	0	0	0	0	625	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Chanth"	"Taija Birgitta"	"puutarhuri, taiteilija"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Elmgren"	"Carl Oskar"	"teknologia-alan yrittäjä, aikuisviihdenäyttelijä"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Gogoljuk"	"Taivas Konsta"	"tietoliikenneteknikko"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Junni"	"Petter Paulus Daniel"	"tekniikan kandidaatti, yrittäjä"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Korppi"	"Tuomas Tapio"	"filosofian tohtori"	"PIR"	"Piraattipuolue r.p."	40	40	40	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Niemi"	"Sari Kaarina"	"media-assistentti"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Nybergh"	"Thomas Mikael"	"konsultti"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Paalijärvi"	"Janne Erkki Antero"	"tekniikan ylioppilas, Test Specialist"	"PIR"	"Piraattipuolue r.p."	2000	2000	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Hollola"	"Palmulehto"	"Pasi Petteri"	"puolueen puheenjohtaja, järjestelmäasiantuntija"	"PIR"	"Piraattipuolue r.p."	1000	1000	900	0	100	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Särelä"	"Mikko Johannes"	"diplomi-insinööri, Internet-tutkija"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Smolander"	"Sampo Heikki"	"filosofian tohtori, biologi"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Tarvainen"	"Joni Mikael"	"ATK-asentaja"	"PIR"	"Piraattipuolue r.p."	30	30	30	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Joensuu"	"Tervashonka"	"Ari Juhani"	"opiskelija"	"PIR"	"Piraattipuolue r.p."	500	500	500	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Toivola"	"Laura Emilia"	"taiteilija, opiskelija"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Torfayeh"	"Aleksander"	"tekninen asiantuntija"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Vaarnas"	"Ari Ilmari"	"koneistaja"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Vähämartti"	"Pasi Antero"	"projekti-insinööri"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Wallén"	"Aarne Olavi"	"opiskelija"	"PIR"	"Piraattipuolue r.p."	0	0	0	0	0	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Mäntsälä"	"Heinonen"	"Kalevi Johannes"	"eläinlääkäri"	"KESK"	"Suomen Keskusta r.p."	10000	10000	4800	0	0	500	0	4700	0	0
"Uudenmaan vaalipiiri"	"Vantaa"	"Hirvaskoski"	"Johannes Fredrik"	"varatuomari, johtaja"	"KESK"	"Suomen Keskusta r.p."	11479	11479	9959	0	20	1500	0	0	0	0
"Uudenmaan vaalipiiri"	"Tuusula"	"Kaikkonen"	"Antti Samuli"	"kansanedustaja"	"KESK"	"Suomen Keskusta r.p."	25000	25000	12000	0	11500	1000	0	0	500	0
"Uudenmaan vaalipiiri"	"Nurmijärvi"	"Korhonen"	"Virpi Marianna"	"elintarviketieteiden maisteri, tutkija"	"KESK"	"Suomen Keskusta r.p."	9423	9423	2180	0	6443	0	0	800	0	0
"Uudenmaan vaalipiiri"	"Askola"	"Sorsa"	"Simo Antero"	"agrologi, johtava talousneuvoja"	"KESK"	"Suomen Keskusta r.p."	15000	15000	1900	0	4000	6500	0	2000	0	600
"Uudenmaan vaalipiiri"	"Kauniainen"	"Korpivaara"	"Miia Susanna"	"valtiotieteen maisteri, ministerin erityisavustaja"	"RKP"	"Suomen ruotsalainen kansanpuolue r.p."	3500	3500	2500	0	0	0	1000	0	0	0
"Uudenmaan vaalipiiri"	"Espoo"	"Almqvist"	"Sven Fredrik"	"professor, ylilääkäri"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	6000	6000	4000	0	500	0	0	1500	0	0
"Uudenmaan vaalipiiri"	"Raasepori"	"Feldt-Ranta"	"Maarit Kristiina"	"kansanedustaja, riksdagsledamot"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	0	0	0	0	7105	2350	0	14650	6500	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Ihalainen"	"Lauri Armas"	"työelämän asiantuntija"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	46500	46500	2500	0	0	6400	0	0	37600	0
"Uudenmaan vaalipiiri"	"Vantaa"	"Kiljunen"	"Kimmo Roobert"	"valtiotieteen tohtori, kansanedustaja"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	40000	40000	0	30000	1000	0	0	0	9000	0
"Uudenmaan vaalipiiri"	"Helsinki"	"Rantanen"	"Mari Pia Susanna"	"poliisi, ensihoitaja-sairaanhoitaja AMK"	"SDP"	"Suomen Sosialidemokraattinen Puolue"	1512	1493	932	0	580	0	0	0	0	0
"Uudenmaan vaalipiiri"	"Askola"	"Aaltonen"	"Tero Martti"	"teollisuustyöntekijä"	"VAS"	"Vasemmistoliitto r.p."	4700	4700	500	0	200	0	0	0	4000	0
"Uudenmaan vaalipiiri"	"Espoo"	"Ahlfors"	"Tiina Marjo Anniina"	"sosionomi AMK, päihde- ja mielenterveystyöntekijä"	"VAS"	"Vasemmistoliitto r.p."	2000	2390	350	0	0	0	0	2000	0	0
"Uudenmaan vaalipiiri"	"Vantaa"	"Dahl"	"Ahti Johannes"	"taksiautoilija"	"VAS"	"Vasemmistoliitto r.p."	3500	3500	1850	0	1400	0	0	250	0	0
"Uudenmaan vaalipiiri"	"Vantaa"	"Hartikainen"	"Antti Pekka"	"opiskelija"	"VAS"	"Vasemmistoliitto r.p."	2575	2575	100	0	0	0	0	0	2250	225
