kunta,ammatti,muu_tuki,lainat,etunimi,omat_varat,kulut_kaikki,yritys_tuki,puolue_lyh,rahoitus_kaikki,valitetty_tuki,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,yksityinen_tuki,puolue_tuki
Imatra,"yhteiskuntatieteiden ylioppilas, kulttuurituottaja AMK",0,0,Hanna-Kaisa,400,1100,300,VIHR,1000,0,0,Vihreä liitto r.p.,Kymen vaalipiiri,Lähde,400,0
Parikkala,"pukuompelija, ympäristönhoitaja",0,0,Anne,200,200,0,VIHR,0,0,0,Vihreä liitto r.p.,Kymen vaalipiiri,Venjärvi,0,0
Pyhtää,"yrittäjä, hortonomi",0,0,Jukka Esko,125,925,200,VIHR,925,0,550,Vihreä liitto r.p.,Kymen vaalipiiri,Söderholm,100,0
Hamina,paloesimies,1500,0,Jarmo Juhani,500,3000,0,VAS,3000,0,500,Vasemmistoliitto r.p.,Kymen vaalipiiri,Tammilehto,0,500
Lappeenranta,rakennussiivooja,1000,0,Maija Liisa,0,2120,0,VAS,2300,300,700,Vasemmistoliitto r.p.,Kymen vaalipiiri,Hyyrynen,120,0
Kouvola,opiskelija,0,0,Tomi Juhani,200,2000,0,VAS,2000,0,1800,Vasemmistoliitto r.p.,Kymen vaalipiiri,Rouhiainen,0,0
Lappeenranta,sosionomiopiskelija,0,0,Tiia Eveliina,0,810,0,VAS,810,0,800,Vasemmistoliitto r.p.,Kymen vaalipiiri,Meuronen,10,0
Kotka,"kansanedustaja, kirurgian erikoislääkäri",1000,0,Pentti Uolevi,29000,30000,0,VAS,30000,0,0,Vasemmistoliitto r.p.,Kymen vaalipiiri,Tiusanen,0,0
Kotka,ohjaaja,1500,0,Seija Tuulikki,200,2000,300,VAS,2000,0,0,Vasemmistoliitto r.p.,Kymen vaalipiiri,Piipponen-Pekkola,0,0
Lappeenranta,"ylioppilas, opiskelija",0,0,Mirka Marjaana,100,790,0,PS,550,0,300,Perussuomalaiset r.p.,Kymen vaalipiiri,Salo,150,0
Hamina,"kauppateknikko, metsätalouden harjoittaja",0,0,Hannu Kalervo,2000,2000,0,PS,2000,0,0,Perussuomalaiset r.p.,Kymen vaalipiiri,Järvinen,0,0
Pyhtää,"metsätalousinsinööri, työnjohtaja",2500,0,Raul Sauli Lennart,930,4930,0,PS,4930,0,0,Perussuomalaiset r.p.,Kymen vaalipiiri,Lehto,500,1000
Kouvola,"levyseppähitsaaja, lvi-asentaja",0,0,Tomi Tapani,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Kymen vaalipiiri,Simola,0,0
Kouvola,"graafinen suunnittelija, järjestelmätukihenkilö",0,0,Markus Mika Samuli,50,50,0,PIR,50,0,0,Piraattipuolue r.p.,Kymen vaalipiiri,Koskelainen,0,0
Kouvola,opiskelija,0,0,Tero Antti,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Kymen vaalipiiri,Keinänen,0,0
Imatra,opiskelija,0,0,Hanna Maria,35,4500,0,KESK,4295,1300,1500,Suomen Keskusta r.p.,Kymen vaalipiiri,Tuuha,0,2760
Kotka,"filosofian maisteri, diplomi-insinööri",500,0,Anna-Maria,0,3000,0,KOK,0,0,2300,Kansallinen Kokoomus r.p.,Kymen vaalipiiri,Länsimies,200,0
Lappeenranta,diplomi-insinööri,5000,0,Tuomas Taneli,10000,24550,0,KOK,24550,0,4000,Kansallinen Kokoomus r.p.,Kymen vaalipiiri,Telkkä,5550,0
Ruokolahti,"kansanedustaja, luomuyrittäjä",3700,0,Kimmo Kalevi,12000,33000,5800,KESK,33000,0,450,Suomen Keskusta r.p.,Kymen vaalipiiri,Tiilikainen,11050,0
Kouvola,"yhteiskuntatieteiden maisteri, kansanedustaja",250,0,Markku Matti,9750,30000,16000,KESK,30000,0,0,Suomen Keskusta r.p.,Kymen vaalipiiri,Laukkanen,4000,0
Lemi,"sairaanhoitaja, yrittäjä",0,0,Laila Marjo Tellervo,0,6000,0,KESK,6000,1000,200,Suomen Keskusta r.p.,Kymen vaalipiiri,Huuhilo,94,0
Lappeenranta,työteknikko,0,0,Teemu Samuli,0,120,0,M11,120,0,0,Muutos 2011 r.p.,Kymen vaalipiiri,Lavikka,120,0
Kouvola,varatoimitusjohtaja,0,0,Topi Johannes,2000,6000,1600,KESK,6000,0,1400,Suomen Keskusta r.p.,Kymen vaalipiiri,Seppälä,1000,0
Lappeenranta,"työnjohtaja, sähköasentaja",50,0,Jouni Ensio,14000,18850,1800,KESK,18850,0,2100,Suomen Keskusta r.p.,Kymen vaalipiiri,Kemppi,900,0
Kemi,catering-alan palveluvastaava,0,0,Doris,0,1086,0,VIHR,1086,0,686,Vihreä liitto r.p.,Lapin vaalipiiri,Tuohimaa,400,0
Parikkala,"kasvatustieteiden maisteri, koulunjohtaja",0,2000,Antti Pekka,1000,6000,0,KESK,6000,0,2500,Suomen Keskusta r.p.,Kymen vaalipiiri,Pesonen,500,0
Kemijärvi,psykiatrian erikoislääkäri,0,0,Mirja,4528,5000,0,VIHR,5000,0,466,Vihreä liitto r.p.,Lapin vaalipiiri,Remes,5,0
Rovaniemi,ammattilukion abiturientti,0,0,Miikka,250,500,0,VIHR,500,0,250,Vihreä liitto r.p.,Lapin vaalipiiri,Keränen,0,0
Tornio,terveyskeskuslääkäri,0,0,Liisa,1200,1667,0,VIHR,1667,0,467,Vihreä liitto r.p.,Lapin vaalipiiri,Virtanen,0,0
Inari,"lehtori, eläkeläinen",0,0,Esko,5000,5000,0,VIHR,0,0,0,Vihreä liitto r.p.,Lapin vaalipiiri,Sirjola,0,0
Tornio,lehtori,0,0,Matti,3000,3500,0,VIHR,3500,0,400,Vihreä liitto r.p.,Lapin vaalipiiri,Korteniemi,100,0
Rovaniemi,"tutkija, yhteiskuntatieteiden maisteri",0,3000,Mika,1000,5972,0,VIHR,6055,0,0,Vihreä liitto r.p.,Lapin vaalipiiri,Flöjt,2055,0
Lappeenranta,toiminnanjohtaja,0,0,Henna Tytti Maria,12000,20399,0,KESK,20399,0,3900,Suomen Keskusta r.p.,Kymen vaalipiiri,Kaijanen,4499,0
"Kautokeino, Norja","opettaja, muusikko",0,0,Niko,250,255,0,VIHR,255,0,0,Vihreä liitto r.p.,Lapin vaalipiiri,Valkeapää,5,0
Espoo,"liiketoimintayksikön johtaja, opiskelija",0,0,Antti,600,1120,0,VIHR,1165,0,250,Vihreä liitto r.p.,Lapin vaalipiiri,Brunni,315,0
Rovaniemi,"pastori, perheasiain neuvottelukeskuksen johtaja",0,0,Sari,450,700,0,VIHR,700,0,250,Vihreä liitto r.p.,Lapin vaalipiiri,Arponen,0,0
Kemijärvi,kansanedustaja,5000,10000,Markus,0,25000,0,VAS,25000,0,10000,Vasemmistoliitto r.p.,Lapin vaalipiiri,Mustajärvi,0,0
Kemi,ammattikorkeakoulun lehtori,0,0,Tuula,1503,1969,0,VIHR,1969,0,466,Vihreä liitto r.p.,Lapin vaalipiiri,Sykkö,0,0
Enontekiö,yhteiskuntatieteiden ylioppilas,0,0,Birgitta,150,150,0,VIHR,150,0,0,Vihreä liitto r.p.,Lapin vaalipiiri,Eira,0,0
Kemi,"opiskelija, kasvatustieteen ylioppilas",1000,0,Markus Tapani,0,0,0,VAS,1147,0,0,Vasemmistoliitto r.p.,Lapin vaalipiiri,Korjonen,147,0
Rovaniemi,palveluneuvoja,2000,0,Laila Marketta,600,3600,0,VAS,3600,0,600,Vasemmistoliitto r.p.,Lapin vaalipiiri,Tuisku,400,0
Rovaniemi,"filosofian maisteri, kieltenopettaja",0,0,Sari,300,300,0,VIHR,300,0,0,Vihreä liitto r.p.,Lapin vaalipiiri,Ylipulli,0,0
Tornio,nuoriso-ohjaaja,1500,0,Jan-Mikael,0,6500,0,VAS,6500,0,5000,Vasemmistoliitto r.p.,Lapin vaalipiiri,Hakomäki,0,0
Rovaniemi,"huilunsoitonopettaja, opiskelija",0,0,Laura Maria Aleksandra,0,900,0,VAS,900,0,600,Vasemmistoliitto r.p.,Lapin vaalipiiri,Raudaskoski,300,0
Rovaniemi,ylilääkäri,0,0,Vesa Antti Johannes,10000,12000,0,SDP,12000,0,1000,Suomen Sosialidemokraattinen Puolue,Lapin vaalipiiri,Liikkanen,1000,0
Inari,yrittäjä,0,0,Esa Kalevi,2000,6000,4000,PS,6000,0,0,Perussuomalaiset r.p.,Lapin vaalipiiri,Lindholm,0,0
Kemi,insinööriopiskelija,10000,0,Sari Johanna,0,26210,0,VAS,26760,6500,4000,Vasemmistoliitto r.p.,Lapin vaalipiiri,Moisanen,4750,1510
Rovaniemi,"toiminnanjohtaja, toimittaja",0,0,Jarmo Matti Tapani,350,12733,570,PS,12985,0,0,Perussuomalaiset r.p.,Lapin vaalipiiri,Juntunen,12065,0
Rovaniemi,"DJ, musiikkituottaja",0,0,Jarno Mikael,5,80,75,M11,80,0,0,Muutos 2011 r.p.,Lapin vaalipiiri,Siivola,0,0
Simo,terveydenhoitaja,0,0,Helvi Kyllikki,350,1500,0,VAS,1150,0,1000,Vasemmistoliitto r.p.,Lapin vaalipiiri,Hamari,150,0
Rovaniemi,kasvatustieteen kandidaatti,0,3000,Liisa Maria Esteri,1000,24400,1500,KESK,24400,0,2520,Suomen Keskusta r.p.,Lapin vaalipiiri,Ansala,16380,0
Tervola,"kunnanjohtaja, agronomi",16000,0,Mika Antero,5000,30000,3500,KESK,30000,0,4000,Suomen Keskusta r.p.,Lapin vaalipiiri,Simoska,1500,0
Kemi,"toimitusjohtaja, sosiaalityöntekijä",100,0,Hilkka Helinä,4200,4500,0,SDP,4500,0,100,Suomen Sosialidemokraattinen Puolue,Lapin vaalipiiri,Halonen,100,0
Rovaniemi,projektipäällikkö,0,0,Hemmo Heikki,9664,10184,0,PS,10184,0,0,Perussuomalaiset r.p.,Lapin vaalipiiri,Koskiniemi,0,0
Pello,suunnittelija,650,0,Maija Johanna,395,1946,0,SDP,1946,0,0,Suomen Sosialidemokraattinen Puolue,Lapin vaalipiiri,Oksman,901,0
Keminmaa,"kunnanjohtaja, MMM",3300,0,Tommi Klaes Viljami,11500,24300,2500,KESK,24300,0,2500,Suomen Keskusta r.p.,Lapin vaalipiiri,Lepojärvi,4500,0
Inari,kansanedustaja,0,5000,Janne Antero,2500,45000,29000,KESK,45000,0,1000,Suomen Keskusta r.p.,Lapin vaalipiiri,Seurujärvi,7500,0
Tornio,"ministerin lehdistöavustaja, YTK",3500,0,Katri Briitta Ilona,7000,26400,7000,KESK,26400,0,4400,Suomen Keskusta r.p.,Lapin vaalipiiri,Kulmuni,4500,0
Savukoski,"varatuomari, agrologi",600,20000,Eeva Maria Kustaava,6000,40000,0,KESK,40000,0,400,Suomen Keskusta r.p.,Lapin vaalipiiri,Maijala,13000,0
Kemijärvi,"filosofian maisteri, biologian ja maantiedon lehtori",0,0,Pirkka Teemu Sakari,2500,3500,0,KD,3500,0,0,Suomen Kristillisdemokraatit (KD),Lapin vaalipiiri,Aalto,0,1000
Kuopio,"ympäristösuunnittelija, opiskelija",0,0,Lauri Mikael,1000,1000,0,VP,1000,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Oulun vaalipiiri,Oikarinen,0,0
Oulu,yhteisötyöntekijä,0,0,Aruna,679,679,0,VIHR,679,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Somani,0,0
Siikajoki,"pappi, teologian maisteri",0,0,Pekka,3000,4000,1000,VIHR,0,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Elonheimo,0,0
Haukipudas,"yhteiskuntatieteiden maisteri, sosiodraamaohjaaja",0,0,Terttu,1800,2050,0,VIHR,2050,0,200,Vihreä liitto r.p.,Oulun vaalipiiri,Kuusela,50,0
Oulu,"emeritusprofessori, kansanedustaja",800,0,Erkki,21900,23200,0,VIHR,23200,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Pulliainen,500,0
Oulunsalo,tietoliikenneinsinööri,335,0,Latekoe,1243,2203,0,VIHR,2203,0,500,Vihreä liitto r.p.,Oulun vaalipiiri,Lawson Hellu,125,0
Oulu,"opiskelija, filosofian ylioppilas",0,0,Janne,612,1617,0,VIHR,1005,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Hakkarainen,1005,0
Kempele,"yhteiskuntatieteiden maisteri, palvelusihteeri",0,0,Sirkku,120,1929,0,VIHR,1929,0,809,Vihreä liitto r.p.,Oulun vaalipiiri,Asheesh,1000,0
Siikalatva,maanviljelijä,0,0,Sakari,480,2050,0,VIHR,2050,0,470,Vihreä liitto r.p.,Oulun vaalipiiri,Hankonen,1100,0
Kalajoki,"biologian ja maantiedon opettaja, filosofian maisteri",20,0,Hanna,3210,9000,0,VIHR,9000,0,1000,Vihreä liitto r.p.,Oulun vaalipiiri,Halmeenpää,4770,0
Kajaani,opiskelija,200,0,Marika,500,1175,0,VIHR,1175,0,175,Vihreä liitto r.p.,Oulun vaalipiiri,Kemppainen,300,0
Oulu,"filosofian maisteri, liiketoimintajohtaja",0,0,Marja,1280,1500,0,VIHR,1500,0,220,Vihreä liitto r.p.,Oulun vaalipiiri,Lähde,0,0
Suomussalmi,maaseudun kehittäjä,0,1000,Juhani,1800,2000,0,VIHR,2000,0,100,Vihreä liitto r.p.,Oulun vaalipiiri,Kela,0,0
Oulu,"toimitusjohtaja, pelisuunnittelija",0,0,Jussi,0,0,0,VIHR,1500,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Autio,1160,0
Puolanka,"yrittäjä, toimitusjohtaja",0,0,Johan,500,500,0,VIHR,0,0,0,Vihreä liitto r.p.,Oulun vaalipiiri,Heino,0,0
Oulu,"toimitusjohtaja, fysioterapeutti",0,0,Maarit,4200,4584,0,VIHR,4584,0,384,Vihreä liitto r.p.,Oulun vaalipiiri,Sihvonen,0,0
Oulu,"kasvatustieteen maisteri, luokanopettaja",625,0,Satu,15000,20895,200,VIHR,20895,0,140,Vihreä liitto r.p.,Oulun vaalipiiri,Haapanen,4930,0
Oulu,filosofian maisteri,0,0,Otto,1634,3500,0,VIHR,3500,0,1000,Vihreä liitto r.p.,Oulun vaalipiiri,Simola,865,0
Oulu,luonnontieteiden ylioppilas,0,0,Miia,748,3540,0,VIHR,0,0,2792,Vihreä liitto r.p.,Oulun vaalipiiri,Hirsikangas,0,0
Haukipudas,kirvesmies,6600,0,Jarmo Tuomas,0,8500,0,VAS,8500,0,1700,Vasemmistoliitto r.p.,Oulun vaalipiiri,Salo,200,0
Oulu,päätoimittaja,0,0,Paavo Johannes,0,5000,0,VAS,5000,3000,0,Vasemmistoliitto r.p.,Oulun vaalipiiri,Heinonen,0,0
Kempele,"sosionomi, erityisohjaaja",500,00,Sirkka Liisa,5700,6700,00,VAS,6700,00,500,Vasemmistoliitto r.p.,Oulun vaalipiiri,Pinola,20,00
Oulu,opiskelija,0,0,Hanna Maria Katariina,500,9500,0,VAS,9500,0,7000,Vasemmistoliitto r.p.,Oulun vaalipiiri,Sarkkinen,2000,0
Oulu,"palvelupäällikkö, puolueen varapuheenjohtaja",9300,5000,Risto Olavi,3000,31000,3998,VAS,34384,0,2075,Vasemmistoliitto r.p.,Oulun vaalipiiri,Kalliorinne,11011,0
Oulu,kansanedustaja,13500,0,Martti Allan,7000,27000,0,VAS,27000,0,6000,Vasemmistoliitto r.p.,Oulun vaalipiiri,Korhonen,500,0
Suomussalmi,"kansanedustaja, bioanalyytikko",5000,0,Merja Sinikka,10000,15000,0,VAS,15000,0,0,Vasemmistoliitto r.p.,Oulun vaalipiiri,Kyllönen,0,0
Kuusamo,luokanopettaja,500,0,Tarmo Tapani,0,2000,0,VAS,2000,0,1000,Vasemmistoliitto r.p.,Oulun vaalipiiri,Raatikainen,500,0
Oulu,"kouluttaja, entinen kansanedustaja",2000,0,Anne Päivi Aulikki,1500,8000,1000,VAS,8000,0,2000,Vasemmistoliitto r.p.,Oulun vaalipiiri,Huotari,1000,500
Oulu,"filosofian maisteri, projektisuunnittelija",6000,15000,Tytti Johanna,0,29600,3000,SDP,29600,0,600,Suomen Sosialidemokraattinen Puolue,Oulun vaalipiiri,Tuppurainen,8000,0
Oulu,"erikoissairaanhoitaja, tutkimuskoordinaattori",0,0,Pirjo Hannele,2000,2000,0,SDP,2000,0,0,Suomen Sosialidemokraattinen Puolue,Oulun vaalipiiri,Sirviö,0,0
Suomussalmi,rajavartija evp.,0,0,Yrjö Allan,14250,15000,0,PS,15000,0,0,Perussuomalaiset r.p.,Oulun vaalipiiri,Puurunen,750,0
Kajaani,palveluasiantuntija,0,0,Jaana Anne Kristiina,700,1100,0,PS,1100,0,400,Perussuomalaiset r.p.,Oulun vaalipiiri,Sankilampi,0,0
Vaala,nuorisotyönohjaaja,0,0,Jere Oskari,250,250,0,PIR,250,0,0,Piraattipuolue r.p.,Oulun vaalipiiri,Hakkarainen,0,0
Kuusamo,opiskelija,0,0,Niko Kristian,0,0,0,PIR,0,0,0,Piraattipuolue r.p.,Oulun vaalipiiri,Mourujärvi,0,0
Inari,tuntiopettaja,0,0,Yrjö Väinö Ensio,50,50,0,PIR,0,0,0,Piraattipuolue r.p.,Oulun vaalipiiri,Mäntykangas,0,0
Tampere,filosofian maisteri,0,0,Juuso Elja-Eemeli,200,200,0,M11,200,0,0,Muutos 2011 r.p.,Oulun vaalipiiri,Raitala,0,0
Oulu,opiskelija,416,0,Lauri Oskari,160,579,0,M11,579,0,0,Muutos 2011 r.p.,Oulun vaalipiiri,Pekkarinen,0,0
Oulu,merkonomi,0,0,Ritva Liisa,228,233,0,M11,233,0,0,Muutos 2011 r.p.,Oulun vaalipiiri,Puolakka,5,0
Paltamo,"koordinaattori, hallintotieteiden maisteri",1000,15000,Anu Marisanna Kristiina,5000,40000,3500,KESK,40000,1500,10000,Suomen Keskusta r.p.,Oulun vaalipiiri,Jarva,4000,0
Haukipudas,"kansanedustaja, luokanopettaja",0,0,Mirja Tellervo,22000,35000,3000,KESK,35000,0,2500,Suomen Keskusta r.p.,Oulun vaalipiiri,Vehkaperä,7500,0
Kalajoki,"teologian maisteri, kirkkoherra",0,0,Eija Hannele,10500,52000,17215,KESK,52215,0,6400,Suomen Keskusta r.p.,Oulun vaalipiiri,Nivala,18100,0
Oulu,"varatuomari, yrittäjä",1600,0,Ritva-Liisa,9300,34000,8100,KESK,34000,0,5800,Suomen Keskusta r.p.,Oulun vaalipiiri,Niskanen,9200,0
Oulu,professori,0,0,Kyösti Sakari,18372,31772,7200,KESK,31772,0,0,Suomen Keskusta r.p.,Oulun vaalipiiri,Oikarinen,1200,5000
Siikalatva,sairaanhoitaja,0,0,Kaisa Johanna,8500,10500,1500,KESK,10500,0,0,Suomen Keskusta r.p.,Oulun vaalipiiri,Louet,500,0
Kempele,"diplomi-insinööri, yrittäjä",0,0,Juha Petri,15000,55000,25000,KESK,55000,0,0,Suomen Keskusta r.p.,Oulun vaalipiiri,Sipilä,15000,0
Nivala,maanviljelijä,8000,15000,Eero Artturi,0,37100,11100,KESK,37100,0,0,Suomen Keskusta r.p.,Oulun vaalipiiri,Isomaa,3000,0
Tyrnävä,"hallinto- ja kuntaministeri, kansanedustaja",15000,0,Tapani Olavi,2700,38000,8300,KESK,38000,0,5000,Suomen Keskusta r.p.,Oulun vaalipiiri,Tölli,7000,0
Suomussalmi,toimittaja,0,0,Sirkku Sonja Anneli,125,600,0,KD,600,0,200,Suomen Kristillisdemokraatit (KD),Oulun vaalipiiri,Kianto,275,0
Haapajärvi,"maanviljelijä, agrologi",2000,0,Sanna Kristiina,3000,39000,16500,KESK,39000,0,500,Suomen Keskusta r.p.,Oulun vaalipiiri,Isola,17000,0
Sipoo,"biologi, ympäristötarkastaja",0,0,Sini-Pilvi,300,2809,1000,VIHR,2990,0,620,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Saarnio,1070,0
Espoo,opiskelija,0,1800,Satu,0,2270,200,VIHR,2380,0,270,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Raudasoja,120,0
Vantaa,opiskelija,500,0,Juhis,2030,4975,0,VIHR,4975,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Ranta,2445,0
Espoo,"apulaisrehtori, opettaja",0,0,Inka,3250,9150,1800,VIHR,9150,0,600,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Hopsu,3500,0
Nummi-Pusula,"yhteiskuntatieteiden maisteri, espanjankielen opettaja",0,0,Ana Maria,740,800,0,VIHR,800,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Gutiérrez Sorainen,60,0
Espoo,"tekniikan tohtori, kansanedustaja",0,0,Jyrki,11480,15000,250,VIHR,15000,0,270,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Kasvi,3000,0
Lohja,"sihteeri, opiskelija",600,0,Paula,230,2200,0,VIHR,2200,0,1620,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Nordström,200,0
Karkkila,"artesaani, tukiperheäiti",0,0,Anu,500,1300,0,VIHR,1300,0,800,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Frosterus,0,0
Siuntio,"företagare, toimitusjohtaja",0,0,Kristian,4500,7000,0,VIHR,7000,0,300,Vihreä liitto r.p.,Uudenmaan vaalipiiri,von Essen,2200,0
Kirkkonummi,"sovittelija, terapeut",0,0,Jens,1400,3669,0,VIHR,3669,0,1650,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Gellin,619,0
Espoo,"tulkki, konsultti",0,0,Said,700,745,0,VIHR,865,0,100,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Yusuf,65,0
